"period";"modularity_class";"avgIndegree";"avgOutdegree";"avgDegree";"avgBetweenness";"avgPageRank";"avgEigenvector"
"20";"5";"5,7168";"5,6195";"11,3363";"1090,6525623166056";"0,0008368923694880598";"0,046119945019908314"
"20";"6";"4,8824";"4,1412";"9,0235";"1554,631223628776";"0,0007688823965690062";"0,03275154303563351"
"20";"7";"4,8033";"5,0000";"9,8033";"1040,3579342213739";"0,0007408821039263941";"0,03809281460085622"
"20";"8";"6,6463";"6,2195";"12,8659";"1218,1287717750529";"0,0009734201322698094";"0,050171371005247115"
"20";"9";"5,2342";"5,6709";"10,9051";"1206,976814682403";"0,0007461701067949631";"0,04059919567825751"
"20";"10";"3,7931";"4,7241";"8,5172";"660,6282160088778";"0,000510334683895472";"0,021280343469410185"
"21";"0";"5,8834";"6,3067";"12,1902";"1243,8354064683742";"0,00078647596191326";"0,04648690527135098"
"21";"1";"4,7209";"4,5814";"9,3023";"1056,3428786294235";"0,0007119163321392594";"0,037312245249541805"
"21";"2";"5,9231";"5,3173";"11,2404";"1166,2400321627106";"0,0009332516638214235";"0,047021664839009145"
"21";"3";"4,6063";"4,5512";"9,1575";"1296,8815668334812";"0,0006884471936144028";"0,03098364698155427"
"21";"4";"3,7561";"4,3171";"8,0732";"1003,1886359515704";"0,0005569365396429083";"0,02424491306506721"
"21";"5";"6,5474";"6,3368";"12,8842";"1285,3114634797441";"0,0008799755022626335";"0,044452860784484426"
"21";"6";"5,0411";"4,6438";"9,6849";"1501,0451249954926";"0,0006763782947516308";"0,03561637422774116"
"21";"7";"3,6591";"4,3182";"7,9773";"619,0512771135873";"0,0005151359898346249";"0,026187243885845136"
"21";"8";"4,0417";"4,1250";"8,1667";"674,9077856622704";"0,0006385782272557596";"0,02554313906238773"
"21";"9";"4,3137";"4,1373";"8,4510";"1262,8735614754853";"0,0006646253041232544";"0,0264039682231067"
"21";"10";"5,1731";"5,2115";"10,3846";"1197,8565319636548";"0,0007147279551533598";"0,03471123787723805"
"22";"0";"6,3250";"6,0500";"12,3750";"1566,7459176257905";"0,0007642857669410003";"0,04363914139926948"
"22";"1";"5,9371";"6,5660";"12,5031";"1320,756550891451";"0,0007488125940297405";"0,04526505940818259"
"22";"2";"5,6736";"5,4375";"11,1111";"1116,0824080725488";"0,0008065624018098563";"0,04193863681145885"
"22";"3";"3,7644";"4,0862";"7,8506";"999,3245068863852";"0,0005408577623478187";"0,022196612712124832"
"22";"4";"5,1058";"4,9327";"10,0385";"1160,5479253516046";"0,0006972844770996087";"0,02833061143504312"
"22";"5";"4,0328";"4,7951";"8,8279";"853,0026255336238";"0,0005952467279812122";"0,027593544713117143"
"22";"6";"6,1184";"4,8816";"11,0000";"2137,973267032961";"0,0008303068441938884";"0,040816986071876095"
"22";"7";"4,3636";"4,3939";"8,7576";"988,6580131413492";"0,0006104583484796281";"0,030143271353715823"
"22";"8";"4,1282";"3,9231";"8,0513";"887,7697626137981";"0,0005059183250627409";"0,0248722070254562"
"22";"9";"4,9492";"4,3559";"9,3051";"1214,8651517379503";"0,0006544340530671969";"0,029281877388240056"
"22";"10";"5,9136";"5,2840";"11,1975";"1675,4169670934477";"0,0007413149194779717";"0,039533526425978203"
"23";"0";"6,3152";"6,7500";"13,0652";"1551,2028365029175";"0,0007402197527394629";"0,04643605916175061"
"23";"1";"4,2432";"4,8649";"9,1081";"1143,2914593705768";"0,0005336078834831935";"0,026312942351786116"
"23";"2";"3,8800";"4,3600";"8,2400";"1061,362161759844";"0,0004912083816540498";"0,023975260634403996"
"23";"3";"4,3333";"4,3667";"8,7000";"1018,0123162514542";"0,0005338476303125249";"0,025508525923558397"
"23";"4";"5,3771";"5,1257";"10,5029";"1932,8335966342947";"0,0006902676775887385";"0,03467832936189488"
"23";"5";"6,1158";"5,2737";"11,3895";"1366,5290889498083";"0,000872502080739842";"0,038136570801987894"
"23";"6";"4,7377";"4,0820";"8,8197";"1500,87880267718";"0,0005801161429671058";"0,024652427650449647"
"23";"7";"4,5088";"4,4561";"8,9649";"1266,8280213558592";"0,0006016280395081184";"0,027773726818316205"
"23";"8";"1,0000";"1,0000";"2,0000";"0";"0,0010868650101428278";"0,0004732008092394913"
"23";"9";"5,7797";"5,4068";"11,1864";"1357,2810167128864";"0,0007069340888240111";"0,03956293725733643"
"23";"10";"3,5137";"3,7397";"7,2534";"774,7072846141954";"0,0005045529338481774";"0,01630485534268689"
"24";"0";"6,3269";"5,3462";"11,6731";"1547,0080658526251";"0,0007337537675199677";"0,03628939792758544"
"24";"1";"4,0847";"3,9661";"8,0508";"1105,8886657745559";"0,00046195194023882435";"0,023785541337937362"
"24";"2";"6,4921";"6,7302";"13,2222";"1921,6146360285125";"0,0007378404004795222";"0,04597080968914606"
"24";"3";"4,1481";"4,3148";"8,4630";"1207,404667554468";"0,0005156702998796481";"0,020446963169063567"
"24";"4";"4,3059";"4,6895";"8,9954";"1338,1509044378647";"0,0005640757518655276";"0,02413423402244369"
"24";"5";"1,0000";"1,0000";"2,0000";"0";"0,0010220045286022104";"0,0004618524165557787"
"24";"6";"5,2025";"4,9264";"10,1288";"1508,4349283746014";"0,0006160128967173149";"0,03488294729405873"
"24";"7";"4,9018";"4,7232";"9,6250";"1125,0494392883193";"0,0005865794541180712";"0,02947781513723251"
"24";"8";"4,2065";"3,6304";"7,8370";"767,3799862329481";"0,00047292691114575187";"0,01991723590966647"
"24";"9";"4,8963";"4,9407";"9,8370";"1836,1144742437295";"0,0005982486940517968";"0,02996279385103617"
"24";"10";"4,0345";"5,0690";"9,1034";"920,1728607272217";"0,00047282723363861165";"0,02843362033588098"
"24";"11";"0,5000";"0,5000";"1,0000";"0";"0,00021847457162089664";"0,00020719380887258558"
"24";"12";"0,5000";"0,5000";"1,0000";"0";"0,00021847457162089664";"0,00020719380887258558"
"24";"13";"5,6774";"6,0860";"11,7634";"1512,919531261687";"0,0006459739130124133";"0,03934333274946365"
"25";"0";"5,2500";"5,8370";"11,0870";"1633,3174061519699";"0,0005635267359772199";"0,037308602446254294"
"25";"1";"4,4104";"4,4328";"8,8433";"1732,391224103273";"0,0005276480516768769";"0,023471784893455205"
"25";"2";"3,2895";"3,6579";"6,9474";"727,3337011973869";"0,00037063763832244345";"0,012936891325780367"
"25";"3";"4,1790";"4,1747";"8,3537";"1245,1173014164444";"0,0004913626524803115";"0,02212692060817404"
"25";"4";"3,1746";"3,3651";"6,5397";"688,5604128814202";"0,000472805260392317";"0,01613880173290892"
"25";"5";"4,2041";"4,2041";"8,4082";"1033,5655874358258";"0,0004981081016490915";"0,02399549381915806"
"25";"6";"4,7342";"4,4557";"9,1899";"1550,9201321039297";"0,0005428195536238261";"0,02799994260358842"
"25";"7";"5,7051";"6,6795";"12,3846";"1923,0588960179448";"0,000602293075047771";"0,03947294351183842"
"25";"8";"6,7164";"4,7463";"11,4627";"1854,5915942089528";"0,0007466862083734354";"0,037703936396766266"
"25";"9";"5,2969";"4,2969";"9,5938";"1408,406924058088";"0,0005831441782833883";"0,032635173966804404"
"25";"10";"5,5676";"6,0108";"11,5784";"1531,6652175604133";"0,0005847180723713391";"0,03700866003902062"
"25";"11";"1,0000";"1,0000";"2,0000";"0";"0,0009528699525031416";"0,00045339315031192693"
"25";"12";"6,7458";"6,6271";"13,3729";"2628,020436700961";"0,0006779635828651597";"0,041130794351360654"
"25";"13";"0,5000";"0,5000";"1,0000";"0";"0,00020368918013040328";"0,00020388948155759267"
"25";"14";"0,5000";"0,5000";"1,0000";"0";"0,00020368918013040328";"0,00020388948155759267"
"26";"0";"6,9605";"5,3684";"12,3289";"2001,8860301731188";"0,0007431425856989901";"0,038588958503388886"
"26";"1";"5,9109";"6,0162";"11,9271";"1841,1468334172025";"0,000582654258627441";"0,03899461773041439"
"26";"2";"5,1328";"5,2266";"10,3594";"1981,444534993814";"0,0005246714571392214";"0,0316808046257773"
"26";"3";"4,7938";"5,2750";"10,0688";"2015,626281821035";"0,00048599002222355595";"0,02487421530658625"
"26";"4";"4,0104";"4,3886";"8,3990";"1119,6728819925636";"0,0004398975900953198";"0,018782248707963037"
"26";"5";"3,6687";"3,8554";"7,5241";"1015,6972139895337";"0,0004273258195167796";"0,017204977906274708"
"26";"6";"6,6786";"5,4048";"12,0833";"3200,572216117323";"0,0006392516700343645";"0,037892430537737706"
"26";"7";"5,1250";"4,3125";"9,4375";"1635,969869684757";"0,0005748299651357776";"0,030183141442932458"
