"id";"betweenness";"closeness";"eccentricity";"harmonic_closeness";"page_rank";"indegree";"outdegree";"degree";"eigenvector";"modularity_class";"clustering_coefficient";"strongly_component";"weakly_component";"interactions";"id_graph_analysis_context";"id_user";"id_community";"profile_1";"profile_2"
"235444";"511,5290025102218";"0,29692680438663605";"7";"0,31086434144196134";"0,00007612503515718469";"1";"4";"5";"0,005117035116493733";"21";"0,6666666865348816";"1057";"0";"7";"72";"45202";"9";"1";"1"
"235445";"0";"0,262141932579211";"7";"0,27276319286839074";"0,00002191810650893231";"0";"4";"4";"0";"21";"0,0833333358168602";"3894";"0";"7";"72";"45203";"9";"1";"1"
"235450";"0";"0,22740368182040138";"8";"0,2340194484493461";"0,00006689500671776937";"1";"1";"2";"0,0013314518241363856";"21";"0";"1057";"0";"2";"72";"45212";"9";"1";"1"
"235459";"0";"0,2945863900834809";"7";"0,30885828784067926";"0,00002191810650893231";"0";"2";"2";"0";"21";"0";"3897";"0";"2";"72";"45219";"9";"4";"4"
"235461";"17707,33268797013";"0,3096821385822583";"6";"0,32813685491374334";"0,00007323982184202794";"7";"15";"22";"0,001911635207638678";"21";"0,19736842811107635";"1057";"0";"52";"72";"45221";"9";"4";"4"
"235463";"548,2749520771426";"0,2917919799498747";"7";"0,3057358610182276";"0,00006186791586148546";"1";"3";"4";"0,0004758829005830725";"5";"0";"1057";"0";"9";"72";"45223";"9";"1";"1"
"235469";"0";"0,29117168938351884";"7";"0,3047230487642731";"0,00003223306323004488";"1";"1";"2";"0,0009337377518701101";"21";"0,5";"1057";"0";"2";"72";"45230";"9";"1";"1"
"235474";"0";"0,24907758943372013";"7";"0,25826381647550023";"0,00002191810650893231";"0";"3";"3";"0";"21";"0";"3901";"0";"3";"72";"45234";"9";"1";"1"
"235478";"0";"0,296725697541088";"7";"0,31094379357581997";"0,00002191810650893231";"1";"3";"4";"0,00021615333013942775";"31";"0,6666666865348816";"3902";"0";"7";"72";"45237";"9";"1";"4"
"235479";"0";"0,2702702702702703";"7";"0,2817141835274893";"0,00002191810650893231";"0";"6";"6";"0";"21";"0,13333334028720856";"3903";"0";"6";"72";"45238";"9";"1";"1"
"235483";"0";"0,22743030125482155";"8";"0,23407655032816763";"0,00002191810650893231";"0";"1";"1";"0";"21";"0";"3905";"0";"1";"72";"45241";"9";"1";"4"
"235487";"0";"0,2636672325976231";"7";"0,2735330491930638";"0,00002191810650893231";"0";"2";"2";"0";"21";"0";"3908";"0";"2";"72";"45247";"9";"1";"1"
"235488";"0";"0,2653072848436521";"7";"0,27609233474411854";"0,00002191810650893231";"1";"3";"4";"0,00021615333013942775";"21";"0,3333333432674408";"3909";"0";"7";"72";"45253";"9";"1";"1"
"235491";"0";"0,2920925565937167";"7";"0,30642110858941807";"0,00002191810650893231";"0";"1";"1";"0";"3";"0";"3910";"0";"2";"72";"45256";"9";"1";"1"
"235494";"0";"0,3127265404752316";"6";"0,3301173356228018";"0,00002191810650893231";"0";"3";"3";"0";"31";"0,3333333432674408";"3911";"0";"3";"72";"45259";"9";"1";"1"
"235496";"0";"0,24874506034390687";"7";"0,2577117708397273";"0,00002191810650893231";"0";"1";"1";"0";"21";"0";"3912";"0";"1";"72";"45260";"9";"1";"1"
"235498";"0";"0";"0";"0";"0,00003123357236809789";"1";"0";"1";"0,00020829388178672802";"21";"0";"3907";"0";"1";"72";"45262";"9";"1";"1"
"235499";"234623,21256364576";"0,3408724930464061";"6";"0,36401474482856144";"0,0021434361627979824";"186";"36";"222";"0,22618658804311317";"21";"0,04371511936187744";"1057";"0";"463";"72";"45263";"9";"4";"4"
"235503";"635,9662035171866";"0,2792565947242206";"7";"0,2913385062054003";"0,000032593303146509215";"2";"2";"4";"0,00044016610863155576";"21";"0,0833333358168602";"2927";"0";"4";"72";"45270";"9";"1";"4"
"235505";"0";"0,30520246363517234";"6";"0,32151495634749655";"0,00002191810650893231";"0";"4";"4";"0";"21";"0,75";"3917";"0";"5";"72";"45273";"9";"1";"4"
"235508";"8419,813661759314";"0,2777976616559294";"7";"0,2891607104512394";"0,00006594815222058587";"3";"3";"6";"0,0016477040884627274";"26";"0";"1057";"0";"7";"72";"45276";"9";"4";"4"
"235511";"0";"0,28802869156566907";"7";"0,30146803246845905";"0,00002191810650893231";"1";"3";"4";"0,00021615333013942775";"21";"0,3333333432674408";"3919";"0";"4";"72";"45278";"9";"1";"1"
"235516";"98,14907450577681";"0,24608962164447262";"7";"0,25492550896244776";"0,00007459883007595537";"2";"3";"5";"0,0012956854589746103";"21";"0,4166666567325592";"1057";"0";"10";"72";"45290";"9";"1";"1"
"235518";"0";"0,25731801612725064";"7";"0,2671654452723388";"0,00002191810650893231";"0";"2";"2";"0";"21";"0,5";"3922";"0";"2";"72";"45292";"9";"1";"1"
"235522";"0";"0,30172302111672494";"7";"0,3171410169907321";"0,00002191810650893231";"0";"2";"2";"0";"5";"0,5";"3925";"0";"3";"72";"45298";"9";"1";"4"
"235525";"0";"0,30376940133037694";"6";"0,3195505939602055";"0,00002191810650893231";"0";"3";"3";"0";"5";"0,5";"3927";"0";"5";"72";"45300";"9";"1";"1"
"235527";"0";"0,2865051051789888";"7";"0,29964985994397475";"0,00002191810650893231";"0";"4";"4";"0";"5";"0,3333333432674408";"3929";"0";"4";"72";"45301";"9";"1";"1"
"235531";"0";"0,3049482916612122";"7";"0,321099459315808";"0,00002191810650893231";"0";"6";"6";"0";"21";"0,5666666626930237";"3931";"0";"13";"72";"45306";"9";"1";"1"
