"id";"score";"profile_1";"profile_2"
"50188";"0";"4";"4"
"50179";"0";"1";"1"
"50188";"0";"4";"4"
"50947";"3";"4";"4"
"54511";"5";"4";"4"
"55178";"7";"1";"1"
"55176";"2";"4";"4"
"54066";"7";"4";"4"
"55176";"5";"4";"4"
"54987";"1";"1";"1"
"53183";"2";"4";"4"
"55098";"4";"4";"4"
"53529";"10";"4";"4"
"50360";"5";"4";"4"
"53529";"2";"4";"4"
"55183";"10";"1";"1"
"54000";"2";"4";"4"
"54000";"1";"4";"4"
"52914";"5";"4";"4"
"52914";"5";"4";"4"
"50360";"9";"4";"4"
"52914";"16";"4";"4"
"55106";"5";"4";"4"
"50357";"10";"4";"4"
"55184";"5";"1";"1"
"55185";"5";"1";"1"
"55143";"1";"1";"1"
"55162";"0";"1";"1"
"52914";"4";"4";"4"
"50605";"1";"4";"4"
"54453";"1";"4";"4"
"53529";"6";"4";"4"
"53584";"3";"4";"4"
"53584";"4";"4";"4"
"52914";"5";"4";"4"
"52374";"0";"4";"4"
"54738";"3";"4";"4"
"53662";"2";"4";"4"
"53850";"1";"1";"1"
"52914";"1";"4";"4"
"53980";"3";"4";"4"
"50621";"2";"4";"4"
"54422";"2";"1";"1"
"55098";"2";"4";"4"
"50441";"2";"4";"4"
"53888";"4";"4";"4"
"53584";"7";"4";"4"
"55197";"2";"4";"4"
"50360";"9";"4";"4"
"55199";"3";"1";"1"
"50621";"1";"4";"4"
"54808";"3";"4";"4"
"54808";"2";"4";"4"
"52914";"4";"4";"4"
"52914";"5";"4";"4"
"53584";"10";"4";"4"
"50360";"5";"4";"4"
"53584";"8";"4";"4"
"52914";"6";"4";"4"
"50188";"5";"4";"4"
"52914";"6";"4";"4"
"54808";"2";"4";"4"
"50360";"8";"4";"4"
"54511";"3";"4";"4"
"53584";"1";"4";"4"
"52914";"2";"4";"4"
"55206";"3";"4";"4"
"55206";"2";"4";"4"
"50387";"5";"4";"4"
"55206";"2";"4";"4"
"50621";"3";"4";"4"
"52044";"23";"4";"4"
"50360";"2";"4";"4"
"55082";"1";"4";"4"
"50360";"18";"4";"4"
"53888";"7";"4";"4"
