"id";"profile";"reputation";"avgScoreQuestion";"avgScoreAnswers";"avgScoreComments";"sumScoreQuestion";"sumScoreAnswers";"sumScoreComments"
"39556";"2";"6";"1,0000";\N;\N;"1";\N;\N
"39602";"2";"6";"0,5000";\N;\N;"1";\N;\N
"39605";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"39606";"2";"6";"1,0000";\N;\N;"1";\N;\N
"39607";"2";"6";"1,0000";\N;\N;"1";\N;\N
"39608";"2";"6";"1,0000";\N;\N;"1";\N;\N
"39614";"2";"6";"1,0000";\N;\N;"1";\N;\N
"39635";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"39700";"2";"6";"-1,0000";\N;\N;"-1";\N;\N
"39706";"2";"6";"-1,0000";\N;\N;"-1";\N;\N
"39728";"2";"6";"1,0000";\N;\N;"1";\N;\N
"39739";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"39740";"2";"6";"1,0000";\N;\N;"1";\N;\N
"39790";"2";"6";"1,0000";\N;\N;"1";\N;\N
"39800";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"39812";"2";"6";"1,0000";\N;"1,0000";"1";\N;"1"
"39830";"2";"6";"1,0000";\N;\N;"1";\N;\N
"39844";"2";"6";"0,0000";\N;\N;"0";\N;\N
"39848";"2";"6";"1,0000";\N;\N;"1";\N;\N
"39870";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"39889";"2";"6";"1,0000";\N;\N;"1";\N;\N
"39967";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"39972";"2";"6";"0,0000";\N;\N;"0";\N;\N
"39977";"2";"6";"-2,0000";\N;\N;"-2";\N;\N
"39988";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"40005";"2";"6";"-1,0000";\N;\N;"-1";\N;\N
"40030";"2";"6";"0,0000";\N;\N;"0";\N;\N
"40037";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40038";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40081";"2";"6";"0,0000";\N;"0,0000";"0";\N;"0"
"40098";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40117";"2";"6";"0,0000";\N;\N;"0";\N;\N
"40133";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40172";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40207";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40233";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"40237";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40271";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"40273";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40287";"2";"6";"1,0000";\N;"0,6667";"1";\N;"2"
"40291";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"40305";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40321";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40374";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40424";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40527";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40543";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40547";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40564";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"40640";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40686";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40731";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"40768";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40769";"2";"6";"1,0000";\N;"0,5000";"1";\N;"1"
"40816";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40849";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"40910";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"40962";"2";"6";"1,0000";\N;\N;"1";\N;\N
"40981";"2";"6";"1,0000";\N;\N;"1";\N;\N
"41105";"2";"6";"1,0000";\N;\N;"1";\N;\N
"41147";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"41170";"2";"6";"1,0000";\N;\N;"1";\N;\N
"41171";"2";"6";"0,0000";\N;\N;"0";\N;\N
"41200";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"41216";"2";"6";"1,0000";\N;\N;"1";\N;\N
"41241";"2";"6";"1,0000";\N;\N;"1";\N;\N
"41260";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"41306";"2";"6";"1,0000";\N;\N;"1";\N;\N
"41358";"2";"6";"0,0000";\N;\N;"0";\N;\N
"41374";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"41415";"2";"6";"1,0000";\N;\N;"1";\N;\N
"41466";"2";"6";"1,0000";\N;\N;"1";\N;\N
"41504";"2";"6";"0,0000";\N;\N;"0";\N;\N
"41508";"2";"6";"1,0000";\N;\N;"1";\N;\N
"41517";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"41599";"2";"6";"1,0000";\N;\N;"1";\N;\N
"41640";"2";"6";"1,0000";\N;\N;"1";\N;\N
"41698";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"41756";"2";"6";"1,0000";\N;\N;"1";\N;\N
"41769";"2";"6";"1,0000";\N;\N;"1";\N;\N
